ruimteverwarming,sanitair warm water,elektriciteit,,,totaal,bron
6.55E-05,4.87E-05,3.18E-05,,,,
6.55E-05,4.87E-05,3.14E-05,,,,
6.55E-05,4.87E-05,3.14E-05,,,,
6.55E-05,4.87E-05,3.15E-05,,,,
6.42E-05,3.50E-05,3.11E-05,,,,
6.42E-05,3.50E-05,3.07E-05,,,,
6.42E-05,3.50E-05,3.10E-05,,,,
6.42E-05,3.50E-05,3.22E-05,,,,
6.70E-05,2.61E-05,3.28E-05,,,,
6.70E-05,2.61E-05,0.000032432,,,,
6.70E-05,2.61E-05,3.27E-05,,,,
6.70E-05,2.61E-05,3.37E-05,,,,
7.56E-05,2.27E-05,3.47E-05,,,,
7.56E-05,2.27E-05,3.50E-05,,,,
7.56E-05,2.27E-05,3.65E-05,,,,
7.56E-05,2.27E-05,0.000041272,,,,
8.17E-05,2.82E-05,4.67E-05,,,,
8.17E-05,2.82E-05,4.87E-05,,,,
8.17E-05,2.82E-05,5.00E-05,,,,
8.17E-05,2.82E-05,5.13E-05,,,,
8.13E-05,2.00E-05,5.26E-05,,,,
8.13E-05,2.00E-05,5.30E-05,,,,
8.13E-05,2.00E-05,5.23E-05,,,,
8.13E-05,2.00E-05,5.13E-05,,,,
7.92E-05,4.19E-05,5.09E-05,,,,
7.92E-05,4.19E-05,4.94E-05,,,,
7.92E-05,4.19E-05,4.85E-05,,,,
7.92E-05,4.19E-05,4.76E-05,,,,
7.48E-05,2.82E-05,4.61E-05,,,,
7.48E-05,2.82E-05,4.52E-05,,,,
7.48E-05,2.82E-05,4.46E-05,,,,
7.48E-05,2.82E-05,4.37E-05,,,,
6.51E-05,9.68E-06,4.25E-05,,,,
6.51E-05,9.68E-06,4.12E-05,,,,
6.51E-05,9.68E-06,4.05E-05,,,,
6.51E-05,9.68E-06,4.04E-05,,,,
4.78E-05,1.24E-05,3.85E-05,,,,
4.78E-05,1.24E-05,3.70E-05,,,,
4.78E-05,1.24E-05,0.00003492,,,,
4.78E-05,1.24E-05,3.27E-05,,,,
3.43E-05,6.25E-06,2.91E-05,,,,
3.43E-05,6.25E-06,2.69E-05,,,,
3.43E-05,6.25E-06,2.51E-05,,,,
3.43E-05,6.25E-06,2.30E-05,,,,
2.87E-05,2.83E-06,2.18E-05,,,,
2.87E-05,2.83E-06,1.96E-05,,,,
2.87E-05,2.83E-06,1.92E-05,,,,
2.87E-05,2.83E-06,1.83E-05,,,,
2.78E-05,2.14E-06,1.75E-05,,,,
2.78E-05,2.14E-06,1.75E-05,,,,
2.78E-05,2.14E-06,1.74E-05,,,,
2.78E-05,2.14E-06,1.76E-05,,,,
2.83E-05,2.14E-06,1.72E-05,,,,
2.83E-05,2.14E-06,1.70E-05,,,,
2.83E-05,2.14E-06,1.68E-05,,,,
2.83E-05,2.14E-06,1.65E-05,,,,
2.99E-05,2.83E-06,1.60E-05,,,,
2.99E-05,2.83E-06,1.56E-05,,,,
2.99E-05,2.83E-06,1.51E-05,,,,
2.99E-05,2.83E-06,1.49E-05,,,,
3.49E-05,4.88E-06,1.54E-05,,,,
3.49E-05,4.88E-06,1.57E-05,,,,
3.49E-05,4.88E-06,1.63E-05,,,,
3.49E-05,4.88E-06,0.000016211,,,,
4.91E-05,6.94E-06,0.000016277,,,,
4.91E-05,6.94E-06,1.64E-05,,,,
4.91E-05,6.94E-06,1.74E-05,,,,
4.91E-05,6.94E-06,1.81E-05,,,,
8.21E-05,1.24E-05,2.07E-05,,,,
8.21E-05,1.24E-05,2.25E-05,,,,
8.21E-05,1.24E-05,2.49E-05,,,,
8.21E-05,1.24E-05,0.000027523,,,,
9.15E-05,6.38E-05,2.91E-05,,,,
9.15E-05,6.38E-05,0.000031667,,,,
9.15E-05,6.38E-05,3.43E-05,,,,
9.15E-05,6.38E-05,3.51E-05,,,,
8.54E-05,0.000107623,3.66E-05,,,,
8.54E-05,0.000107623,3.70E-05,,,,
8.54E-05,0.000107623,3.67E-05,,,,
8.54E-05,0.000107623,3.60E-05,,,,
7.88E-05,5.56E-05,3.64E-05,,,,
7.88E-05,5.56E-05,3.66E-05,,,,
7.88E-05,5.56E-05,3.60E-05,,,,
7.88E-05,5.56E-05,3.51E-05,,,,
7.29E-05,5.15E-05,3.54E-05,,,,
7.29E-05,5.15E-05,3.53E-05,,,,
7.29E-05,5.15E-05,3.53E-05,,,,
7.29E-05,5.15E-05,0.000034879,,,,
6.97E-05,4.80E-05,3.60E-05,,,,
6.97E-05,4.80E-05,3.73E-05,,,,
6.97E-05,4.80E-05,0.000038464,,,,
6.97E-05,4.80E-05,3.84E-05,,,,
6.79E-05,4.53E-05,3.77E-05,,,,
6.79E-05,4.53E-05,3.68E-05,,,,
6.79E-05,4.53E-05,3.59E-05,,,,
6.79E-05,4.53E-05,3.49E-05,,,,
6.56E-05,4.87E-05,3.33E-05,,,,
6.56E-05,4.87E-05,3.29E-05,,,,
6.56E-05,4.87E-05,3.28E-05,,,,
6.56E-05,4.87E-05,3.29E-05,,,,
6.43E-05,3.50E-05,3.25E-05,,,,
6.43E-05,3.50E-05,3.19E-05,,,,
6.43E-05,3.50E-05,3.22E-05,,,,
6.43E-05,3.50E-05,3.34E-05,,,,
6.70E-05,2.61E-05,3.41E-05,,,,
6.70E-05,2.61E-05,3.38E-05,,,,
6.70E-05,2.61E-05,3.39E-05,,,,
6.70E-05,2.61E-05,3.47E-05,,,,
7.57E-05,2.27E-05,3.55E-05,,,,
7.57E-05,2.27E-05,0.000035664,,,,
7.57E-05,2.27E-05,3.69E-05,,,,
7.57E-05,2.27E-05,4.08E-05,,,,
8.18E-05,2.82E-05,4.67E-05,,,,
8.18E-05,2.82E-05,4.85E-05,,,,
8.18E-05,2.82E-05,4.97E-05,,,,
